"","a",""
"1","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"2","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"3","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"4","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"5","1","rt kilafateh modi cannot avoid blame if his party insists that he gets all the credit for policies results speak for themselves bjp los "
"6","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"7","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"8","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"9","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"10","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"11","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"12","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"13","1","rt firstpost icymi in the budgetsession a noconfidence motion was evaded day after day however lok sabha speaker sumitra mahajan co "
"14","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"15","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"16","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"17","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"18","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"19","1","modi cannot avoid blame if his party insists that he gets all the credit for policies results speak for themselves  tcozrpvijajqx"
"20","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"21","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"22","1","rt narendramodi inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all those "
"23","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
